Title,URL,Release Year,Genre,IMDb Rating,Streaming Services,Age Rating,Production Country,Runtime,Type
Kill Me Love Me,https://www.justwatch.com/in/tv-show/kill-me-love-me,2024,"['Drama', 'Action & Adventure']",7.4,{'Netflix'},N/A,China,45min,TV-Show
Mithya,https://www.justwatch.com/in/tv-show/mithya,2022,"['Drama', 'Mystery & Thriller', 'Crime']",7.9,"{'VI movies and tv', 'Zee5'}",N/A,India,35min,TV-Show
Gandii Baat,https://www.justwatch.com/in/tv-show/gandii-baat,2018,"['Drama', 'Mystery & Thriller', 'Crime']",3.4,{'Alt Balaji'},N/A,India,44min,TV-Show
Georgie & Mandy's First Marriage,https://www.justwatch.com/in/tv-show/georgie-and-mandys-first-marriage,2024,['Comedy'],6.6,set(),N/A,United States,20min,TV-Show
Lioness,https://www.justwatch.com/in/tv-show/special-ops-lioness,2023,"['Drama', 'War & Military', 'Action & Adventure', 'Mystery & Thriller']",7.7,set(),N/A,United States,45min,TV-Show
Apharan,https://www.justwatch.com/in/tv-show/apharan,2018,"['Mystery & Thriller', 'Action & Adventure', 'Crime', 'Drama']",8.2,{'Alt Balaji'},N/A,India,24min,TV-Show
Person of Interest,https://www.justwatch.com/in/tv-show/person-of-interest,2011,"['Drama', 'Action & Adventure', 'Crime', 'Science-Fiction', 'Mystery & Thriller']",8.5,set(),N/A,United States,44min,TV-Show
House of the Dragon,https://www.justwatch.com/in/tv-show/house-of-the-dragon,2022,"['Action & Adventure', 'Science-Fiction', 'Drama', 'Romance', 'Fantasy']",8.3,{'Jio Cinema'},N/A,United States,1h 2min,TV-Show
Only Murders in the Building,https://www.justwatch.com/in/tv-show/only-murders-in-the-building,2021,"['Mystery & Thriller', 'Comedy', 'Crime', 'Drama']",8.1,{'Hotstar'},N/A,United States,35min,TV-Show
Money Heist,https://www.justwatch.com/in/tv-show/paperhouse,2017,"['Action & Adventure', 'Crime', 'Drama', 'Mystery & Thriller', 'Made in Europe']",8.2,{'Netflix'},N/A,Spain,57min,TV-Show
Farzi,https://www.justwatch.com/in/tv-show/farzi,2023,"['Drama', 'Crime', 'Mystery & Thriller']",8.3,{'Amazon Prime Video'},N/A,India,56min,TV-Show
Campus Beats,https://www.justwatch.com/in/tv-show/campus-beats,2023,['Drama'],6.8,{'MX Player'},N/A,India,29min,TV-Show
Shōgun,https://www.justwatch.com/in/tv-show/shogun-2024,2024,"['War & Military', 'History', 'Drama']",8.6,{'Hotstar'},N/A,United States,59min,TV-Show
The Judge from Hell,https://www.justwatch.com/in/tv-show/the-judge-from-hell,2024,"['Comedy', 'Drama', 'Science-Fiction', 'Crime', 'Horror', 'Romance', 'Fantasy']",7.8,{'Hotstar'},N/A,South Korea,1h 5min,TV-Show
Cross,https://www.justwatch.com/in/tv-show/cross,2024,"['Mystery & Thriller', 'Action & Adventure', 'Crime', 'Drama']",7.2,{'Amazon Prime Video'},N/A,United States,57min,TV-Show
The Boys,https://www.justwatch.com/in/tv-show/the-boys,2019,"['Science-Fiction', 'Action & Adventure', 'Comedy', 'Crime', 'Drama']",8.7,{'Amazon Prime Video'},N/A,United States,1h 1min,TV-Show
Demon Slayer: Kimetsu no Yaiba,https://www.justwatch.com/in/tv-show/demon-slayer-kimetsu-no-yaiba,2019,"['Action & Adventure', 'Science-Fiction', 'Animation', 'Fantasy', 'Mystery & Thriller']",8.6,"{'Netflix', 'Jio Cinema', 'Crunchyroll Amazon Channel'}",N/A,Japan,27min,TV-Show
Murder in Mahim,https://www.justwatch.com/in/tv-show/murder-in-mahim,2024,['Crime'],7.5,{'Jio Cinema'},N/A,India,43min,TV-Show
Dark,https://www.justwatch.com/in/tv-show/dark,2017,"['Mystery & Thriller', 'Crime', 'Drama', 'Science-Fiction']",8.7,{'Netflix'},N/A,Germany,56min,TV-Show
High Potential,https://www.justwatch.com/in/tv-show/high-potential,2024,"['Crime', 'Drama']",7.8,set(),N/A,United States,43min,TV-Show
Paris Has Fallen,https://www.justwatch.com/in/tv-show/paris-has-fallen,2024,"['Action & Adventure', 'War & Military', 'Drama']",6.5,"{'Lionsgate Play', 'Lionsgate Play Apple TV Channel', 'Lionsgate Play Amazon Channel'}",N/A,France,43min,TV-Show
Spartacus,https://www.justwatch.com/in/tv-show/spartacus,2010,"['Drama', 'Romance', 'Action & Adventure']",8.5,{'Lionsgate Play'},N/A,United States,54min,TV-Show
Cobra Kai,https://www.justwatch.com/in/tv-show/cobra-kai,2018,"['Action & Adventure', 'Drama', 'Comedy', 'Sport']",8.4,{'Netflix'},N/A,United States,35min,TV-Show
Superman & Lois,https://www.justwatch.com/in/tv-show/superman-and-lois,2021,"['Drama', 'Science-Fiction', 'Action & Adventure']",7.7,{'Amazon Prime Video'},N/A,United States,42min,TV-Show
Jujutsu Kaisen,https://www.justwatch.com/in/tv-show/jujutsu-kaisen,2020,"['Fantasy', 'Mystery & Thriller', 'Animation', 'Action & Adventure', 'Science-Fiction']",8.5,"{'Amazon Prime Video', 'Netflix', 'Crunchyroll Amazon Channel', 'Anime Times Amazon Channel'}",N/A,"United States, Japan",24min,TV-Show
