Title,URL,Release Year,Genre,IMDb Rating,Streaming Services,Age Rating,Production Country,Runtime,Type
Tumbbad,https://www.justwatch.com/in/movie/tumbbad,(2018),"['Fantasy', 'Horror', 'Drama', 'Mystery & Thriller', 'Made in Europe']",8.2  (65k)87%,set(),"['A', 'A']","{'India, Sweden'}",1h 44min,Movie
Khel Khel Mein,https://www.justwatch.com/in/movie/khel-khel-mein,Khel,"['Comedy', 'Drama']",6.5  (25k)78%,{'Netflix'},"['UA', 'UA']",{'India'},2h 15min,Movie
Transformers One,https://www.justwatch.com/in/movie/transformers-one-2024,One,"['Animation', 'Science-Fiction', 'Action & Adventure', 'Kids & Family', 'Fantasy']",7.6  (32k)89%,"{'Amazon Video', 'Apple TV'}","['U', 'U']",{'United States'},1h 44min,Movie
Bhool Bhulaiyaa 2,https://www.justwatch.com/in/movie/bhool-bhulaiyaa-2,Bhulaiyaa,"['Horror', 'Comedy']",5.7  (34k)63%,{'Netflix'},"['UA', 'UA']",{'India'},2h 23min,Movie
Longlegs,https://www.justwatch.com/in/movie/longlegs,(2024),"['Horror', 'Mystery & Thriller', 'Crime']",6.7  (137k)86%,"{'Apple TV', 'Amazon Prime Video'}","['A', 'A']","{'Canada, United States'}",1h 41min,Movie
Venom,https://www.justwatch.com/in/movie/venom-2018,(2018),"['Science-Fiction', 'Action & Adventure']",6.6  (560k)30%,"{'VI movies and tv', 'Sony Liv', 'Amazon Video', 'Zee5', 'Apple TV', 'Netflix', 'Amazon Prime Video', 'Jio Cinema'}","['UA', 'UA']","{'United States, China'}",1h 52min,Movie
Vicky Vidya Ka Woh Wala Video,https://www.justwatch.com/in/movie/vicky-vidya-ka-woh-wala-video,Vidya,['Comedy'],6.1  (7k)10%,{'Bookmyshow'},"['UA', 'UA']",{'India'},2h 32min,Movie
The Greatest of All Time,https://www.justwatch.com/in/movie/thalapathy-68,Greatest,"['Mystery & Thriller', 'Action & Adventure']",5.8  (19k)40%,"{'Bookmyshow', 'Netflix'}","['UA', 'UA']",{'India'},3h 3min,Movie
Pushpa: The Rise - Part 1,https://www.justwatch.com/in/movie/pushpa,The,"['Drama', 'Mystery & Thriller', 'Action & Adventure', 'Crime']",7.6  (91k),"{'Bookmyshow', 'Amazon Video', 'Amazon Prime Video'}","['UA', 'UA']",{'India'},2h 59min,Movie
Viswam,https://www.justwatch.com/in/movie/viswam-2024,(2024),"['Action & Adventure', 'Comedy', 'Mystery & Thriller']",4.3,"{'aha', 'Amazon Prime Video'}","['UA', 'UA']",{'India'},2h 33min,Movie
