Title,URL,Release Year,Genre,IMDb Rating,Streaming Services,Age Rating,Production Country,Runtime,Type
Singham Again,https://www.justwatch.com/in/movie/singham-again-2024-0,Again,"['Action & Adventure', 'Drama']",6.0,{'Bookmyshow'},"['UA', 'UA']",{'India'},2h 24min,Movie
Gladiator,https://www.justwatch.com/in/movie/gladiator,(2000),"['Drama', 'Action & Adventure']",8.5,"{'Amazon Video', 'Zee5', 'Apple TV', 'Hungama Play', 'Amazon Prime Video'}",[],"{'United States, United Kingdom'}",2h 35min,Movie
Amaran,https://www.justwatch.com/in/movie/amaran-2024,(2024),"['War & Military', 'Action & Adventure', 'Drama']",8.5,{'Bookmyshow'},[],{'India'},2h 47min,Movie
Martin,https://www.justwatch.com/in/movie/martin,(2024),"['Action & Adventure', 'Drama', 'Mystery & Thriller']",2.5,"{'aha', 'Amazon Prime Video'}","['UA', 'UA']",{'India'},2h 27min,Movie
Lubber Pandhu,https://www.justwatch.com/in/movie/lubber-pandhu,Pandhu,"['Comedy', 'Drama', 'Sport', 'Kids & Family', 'Romance']",8.3,{'Hotstar'},"['U', 'U']",{'India'},2h 26min,Movie
The Wild Robot,https://www.justwatch.com/in/movie/the-wild-robot,Wild,"['Science-Fiction', 'Animation']",8.3,{'Bookmyshow'},[],"{'United States, Japan'}",1h 42min,Movie
Alien: Romulus,https://www.justwatch.com/in/movie/alien-romulus,Romulus,"['Horror', 'Science-Fiction', 'Mystery & Thriller']",7.2,"{'Apple TV', 'Hotstar'}","['A', 'A']","{'United Kingdom, United States, Hungary, Australia, New Zealand, Canada'}",1h 59min,Movie
Black,https://www.justwatch.com/in/movie/black-2024,(2024),"['Mystery & Thriller', 'Horror', 'Science-Fiction']",7.2,"{'Amazon Video', 'Amazon Prime Video'}","['UA', 'UA']",{'India'},2h 30min,Movie
Gaganachari,https://www.justwatch.com/in/movie/gaganachari,(2024),"['Science-Fiction', 'Comedy', 'Fantasy']",7.1,{'Amazon Prime Video'},[],{'India'},1h 54min,Movie
Siddharth Roy,https://www.justwatch.com/in/movie/siddharth-roy,Roy,"['Romance', 'Drama']",6.7,{'aha'},"['A', 'A']",{'India'},2h 28min,Movie
A.R.M,https://www.justwatch.com/in/movie/ajayante-randam-moshanam,(2024),"['Action & Adventure', 'Drama', 'Comedy']",7.2,"{'Bookmyshow', 'Hotstar'}","['UA', 'UA']",{'India'},2h 27min,Movie
Bagheera,https://www.justwatch.com/in/movie/bagheera-2024,(2024),['Action & Adventure'],7.1,{'Netflix'},"['UA', 'UA']",{'India'},2h 38min,Movie
Lucky Baskhar,https://www.justwatch.com/in/movie/lucky-baskhar,Baskhar,"['Crime', 'Drama', 'Mystery & Thriller']",8.4,{'Bookmyshow'},"['UA', 'UA']",{'India'},2h 50min,Movie
Furiosa: A Mad Max Saga,https://www.justwatch.com/in/movie/furiosa,A,"['Action & Adventure', 'Science-Fiction', 'Mystery & Thriller']",7.5,"{'Amazon Video', 'Apple TV', 'Jio Cinema'}","['A', 'A']","{'Australia, United States'}",2h 28min,Movie
Strange Darling,https://www.justwatch.com/in/movie/strange-darling,Darling,"['Horror', 'Mystery & Thriller', 'Crime']",7.1,{'Amazon Prime Video'},[],{'United States'},1h 37min,Movie
The Buckingham Murders,https://www.justwatch.com/in/movie/the-buckingham-murders,Buckingham,"['Mystery & Thriller', 'Crime', 'Drama']",6.0,{'Netflix'},"['A', 'A']","{'India, United Kingdom'}",1h 47min,Movie
Kill,https://www.justwatch.com/in/movie/kill-2024,(2024),"['Action & Adventure', 'Crime', 'Drama', 'Mystery & Thriller']",7.6,{'Hotstar'},"['A', 'A']",{'India'},1h 45min,Movie
All We Imagine as Light,https://www.justwatch.com/in/movie/all-we-imagine-as-light,We,"['Drama', 'Romance']",7.3,{'Bookmyshow'},"['A', 'A']","{'Luxembourg, Netherlands, France, India, Italy'}",1h 58min,Movie
Tumbbad,https://www.justwatch.com/in/movie/tumbbad,(2018),"['Fantasy', 'Horror', 'Drama', 'Mystery & Thriller', 'Made in Europe']",8.2,set(),"['A', 'A']","{'India, Sweden'}",1h 44min,Movie
Khel Khel Mein,https://www.justwatch.com/in/movie/khel-khel-mein,Khel,"['Comedy', 'Drama']",6.5,{'Netflix'},"['UA', 'UA']",{'India'},2h 15min,Movie
Transformers One,https://www.justwatch.com/in/movie/transformers-one-2024,One,"['Animation', 'Science-Fiction', 'Action & Adventure', 'Kids & Family', 'Fantasy']",7.6,"{'Amazon Video', 'Apple TV'}","['U', 'U']",{'United States'},1h 44min,Movie
Bhool Bhulaiyaa 2,https://www.justwatch.com/in/movie/bhool-bhulaiyaa-2,Bhulaiyaa,"['Horror', 'Comedy']",5.7,{'Netflix'},"['UA', 'UA']",{'India'},2h 23min,Movie
Longlegs,https://www.justwatch.com/in/movie/longlegs,(2024),"['Horror', 'Mystery & Thriller', 'Crime']",6.7,"{'Apple TV', 'Amazon Prime Video'}","['A', 'A']","{'Canada, United States'}",1h 41min,Movie
